un_razionale	un_intero	una_data_senzaOra
8,7182818	-32060	12/04/2000
8,8182818	-32059	13/04/2000
9,7182818	-32059	14/04/2000
9,8182818	-32058	15/04/2000
10,7182818	-32058	16/04/2000
10,8182818	-32057	17/04/2000
11,7182818	-32057	18/04/2000
11,8182818	-32056	19/04/2000
12,7182818	-32056	20/04/2000
12,8182818	-32055	21/04/2000
13,7182818	-32055	22/04/2000
13,8182818	-32054	23/04/2000
14,7182818	-32054	24/04/2000
14,8182818	-32053	25/04/2000
15,7182818	-32053	26/04/2000
15,8182818	-32052	27/04/2000
16,7182818	-32052	28/04/2000
9,7182818	-32051	29/04/2000
9,8182818	-32051	30/04/2000
10,7182818	-32050	01/05/2000
10,8182818	-32050	02/05/2000
11,7182818	-32049	03/05/2000
11,8182818	-32049	04/05/2000
12,7182818	-32048	05/05/2000
12,8182818	-32048	06/05/2000
13,7182818	-32047	07/05/2000
13,8182818	-32047	08/05/2000
14,7182818	-32046	09/05/2000
14,8182818	-32046	10/05/2000
15,7182818	-32045	11/05/2000
15,8182818	-32045	12/05/2000
16,7182818	-32044	13/05/2000
16,8182818	-32044	14/05/2000
17,7182818	-32043	15/05/2000
10,7182818	-32043	16/05/2000
10,8182818	-32042	17/05/2000
11,7182818	-32042	18/05/2000
11,8182818	-32041	19/05/2000
12,7182818	-32041	20/05/2000
12,8182818	-32040	21/05/2000
13,7182818	-32040	22/05/2000
13,8182818	-32039	23/05/2000
14,7182818	-32039	24/05/2000
14,8182818	-32038	25/05/2000
15,7182818	-32038	26/05/2000
15,8182818	-32037	27/05/2000
16,7182818	-32037	28/05/2000
16,8182818	-32036	29/05/2000
17,7182818	-32036	30/05/2000
17,8182818	-32035	31/05/2000
18,7182818	-32035	01/06/2000
11,7182818	-32034	02/06/2000
11,8182818	-32034	03/06/2000
12,7182818	-32033	04/06/2000
12,8182818	-32033	05/06/2000
13,7182818	-32032	06/06/2000
13,8182818	-32032	07/06/2000
14,7182818	-32031	08/06/2000
14,8182818	-32031	09/06/2000
15,7182818	-32030	10/06/2000
15,8182818	-32030	11/06/2000
16,7182818	-32029	12/06/2000
16,8182818	-32029	13/06/2000
17,7182818	-32028	14/06/2000
17,8182818	-32028	15/06/2000
18,7182818	-32027	16/06/2000
18,8182818	-32027	17/06/2000
19,7182818	-32026	18/06/2000
12,7182818	-32026	19/06/2000
12,8182818	-32025	20/06/2000
13,7182818	-32025	21/06/2000
13,8182818	-32024	22/06/2000
14,7182818	-32024	23/06/2000
14,8182818	-32023	24/06/2000
15,7182818	-32023	25/06/2000
15,8182818	-32022	26/06/2000
16,7182818	-32022	27/06/2000
16,8182818	-32021	28/06/2000
17,7182818	-32021	29/06/2000
17,8182818	-32020	30/06/2000
18,7182818	-32020	01/07/2000
18,8182818	-32019	02/07/2000
19,7182818	-32019	03/07/2000
19,8182818	-32018	04/07/2000
20,7182818	-32018	05/07/2000
13,7182818	-32017	06/07/2000
13,8182818	-32017	07/07/2000
14,7182818	-32016	08/07/2000
14,8182818	-32016	09/07/2000
15,7182818	-32015	10/07/2000
15,8182818	-32015	11/07/2000
16,7182818	-32014	12/07/2000
16,8182818	-32014	13/07/2000
17,7182818	-32013	14/07/2000
17,8182818	-32013	15/07/2000
18,7182818	-32012	16/07/2000
18,8182818	-32012	17/07/2000
19,7182818	-32011	18/07/2000
19,8182818	-32011	19/07/2000
20,7182818	-32010	20/07/2000
20,8182818	-32010	21/07/2000
21,7182818	-32009	22/07/2000
14,7182818	-32009	23/07/2000
14,8182818	-32008	24/07/2000
15,7182818	-32008	25/07/2000
15,8182818	-32007	26/07/2000
16,7182818	-32007	27/07/2000
16,8182818	-32006	28/07/2000
17,7182818	-32006	29/07/2000
17,8182818	-32005	30/07/2000
18,7182818	-32005	31/07/2000
18,8182818	-32004	01/08/2000
19,7182818	-32004	02/08/2000
19,8182818	-32003	03/08/2000
